policy_id,customer_id,product_type,state,premium_amount,coverage_amount,policy_start_date,policy_status,agent_id,created_at
POL-000000,CUST-2824,Term Life,MI,3733.6,250000,2025-09-24,Lapsed,AGT-242,2026-04-19T06:51:59.622433
POL-000001,CUST-2679,Term Life,ID,2993.41,100000,2025-08-19,Active,AGT-195,2026-04-19T06:51:59.622468
POL-000002,CUST-4582,Whole Life,KS,2576.24,100000,2023-10-10,Lapsed,AGT-833,2026-04-19T06:51:59.622487
POL-000003,CUST-9928,Universal Life,PR,1180.16,500000,2023-12-06,Active,AGT-877,2026-04-19T06:51:59.622504
POL-000004,CUST-3615,Universal Life,AL,1767.23,250000,2022-01-23,Lapsed,AGT-881,2026-04-19T06:51:59.622520
POL-000005,CUST-6514,Term Life,AL,554.45,100000,2022-04-29,Cancelled,AGT-967,2026-04-19T06:51:59.622535
POL-000006,CUST-6635,Annuity,SC,4054.93,1000000,2023-06-20,Active,AGT-487,2026-04-19T06:51:59.622552
POL-000007,CUST-2291,Annuity,UT,4164.08,500000,2024-07-15,Lapsed,AGT-821,2026-04-19T06:51:59.622569
POL-000008,CUST-2139,Term Life,ME,3340.19,500000,2024-01-24,Active,AGT-975,2026-04-19T06:51:59.622587
POL-000009,CUST-4814,Term Life,KY,1962.62,1000000,2025-05-28,Cancelled,AGT-266,2026-04-19T06:51:59.622603
POL-000010,CUST-7065,Annuity,RI,1126.58,500000,2023-01-03,Active,AGT-723,2026-04-19T06:51:59.622619
POL-000011,CUST-3803,Whole Life,CA,900.67,1000000,2024-10-04,Cancelled,AGT-755,2026-04-19T06:51:59.622634
POL-000012,CUST-4598,Annuity,ID,4229.97,100000,2021-05-14,Lapsed,AGT-941,2026-04-19T06:51:59.622649
POL-000013,CUST-1525,Annuity,AS,2065.71,100000,2022-11-09,Lapsed,AGT-680,2026-04-19T06:51:59.622664
POL-000014,CUST-6155,Whole Life,KY,3311.65,1000000,2024-06-22,Pending,AGT-246,2026-04-19T06:51:59.622679
POL-000015,CUST-5339,Whole Life,IN,1308.47,500000,2024-08-17,Pending,AGT-697,2026-04-19T06:51:59.622694
POL-000016,CUST-7543,Annuity,ME,1174.67,250000,2021-06-14,Pending,AGT-193,2026-04-19T06:51:59.622709
POL-000017,CUST-1771,Term Life,AK,848.92,250000,2024-08-15,Pending,AGT-710,2026-04-19T06:51:59.622724
POL-000018,CUST-2040,Universal Life,ID,1969.93,1000000,2022-07-19,Cancelled,AGT-666,2026-04-19T06:51:59.622740
POL-000019,CUST-1188,Term Life,KY,3440.38,500000,2023-10-10,Cancelled,AGT-214,2026-04-19T06:51:59.622756
POL-000020,CUST-5808,Universal Life,MI,874.97,100000,2022-01-30,Cancelled,AGT-612,2026-04-19T06:51:59.622771
POL-000021,CUST-3927,Term Life,CT,4365.54,500000,2025-01-18,Lapsed,AGT-256,2026-04-19T06:51:59.622799
POL-000022,CUST-7126,Whole Life,IA,2742.96,100000,2022-03-15,Cancelled,AGT-600,2026-04-19T06:51:59.622815
POL-000023,CUST-1319,Term Life,NJ,4652.58,500000,2024-03-11,Lapsed,AGT-159,2026-04-19T06:51:59.622830
POL-000024,CUST-4946,Term Life,MS,519.7,1000000,2024-10-03,Active,AGT-878,2026-04-19T06:51:59.622844
POL-000025,CUST-9727,Whole Life,ND,729.12,1000000,2025-02-02,Lapsed,AGT-371,2026-04-19T06:51:59.622859
POL-000026,CUST-9645,Universal Life,CT,4825.38,250000,2024-01-25,Cancelled,AGT-508,2026-04-19T06:51:59.622875
POL-000027,CUST-7118,Universal Life,SD,4508.11,1000000,2021-05-25,Active,AGT-353,2026-04-19T06:51:59.622890
